group,year,week,value
0to14,2022,41,465
0to14,2022,42,465
0to14,2022,43,488
0to14,2022,44,510
0to14,2022,45,567
0to14,2022,46,595
0to14,2022,47,600
0to14,2022,48,630
0to14,2022,49,721
0to14,2022,50,793
0to14,2022,51,852
0to14,2022,52,944
0to14,2023,0,0
0to14,2023,1,27
0to14,2023,2,36
0to14,2023,3,16
0to14,2023,4,42
0to14,2023,5,50
0to14,2023,6,91
0to14,2023,7,128
0to14,2023,8,171
0to14,2023,9,186
0to14,2023,10,217
0to14,2023,11,252
0to14,2023,12,240
0to14,2023,13,238
0to14,2023,14,254
0to14,2023,15,249
0to14,2023,16,272
0to14,2023,17,261
0to14,2023,18,207
0to14,2023,19,217
0to14,2023,20,242
0to14,2023,21,252
0to14,2023,22,275
0to14,2023,23,279
0to14,2023,24,288
0to14,2023,25,282
0to14,2023,26,295
0to14,2023,27,307
0to14,2023,28,304
0to14,2023,29,327
0to14,2023,30,335
0to14,2023,31,336
0to14,2023,32,341
0to14,2023,33,328
0to14,2023,34,329
0to14,2023,35,311
0to14,2023,36,316
0to14,2023,37,330
0to14,2023,38,374
0to14,2023,39,412
0to14,2023,40,434
0to14,2023,41,433
0to14,2023,42,463
0to14,2023,43,475
0to14,2023,44,501
0to14,2023,45,486
0to14,2023,46,495
0to14,2023,47,485
0to14,2023,48,510
0to14,2023,49,565
15to44,2021,0,0
15to44,2021,1,86
15to44,2021,2,170
15to44,2021,3,305
15to44,2021,4,413
15to44,2021,5,487
15to44,2021,6,482
15to44,2021,7,518
15to44,2021,8,480
15to44,2021,9,463
15to44,2021,10,475
15to44,2021,11,485
15to44,2021,12,535
15to44,2021,13,643
15to44,2021,14,724
15to44,2021,15,793
15to44,2021,16,861
15to44,2021,17,871
15to44,2021,18,909
15to44,2021,19,858
15to44,2021,20,832
15to44,2021,21,857
15to44,2021,22,872
15to44,2021,23,858
15to44,2021,24,974
15to44,2021,25,1021
15to44,2021,26,1073
15to44,2021,27,1185
15to44,2021,28,1289
15to44,2021,29,1493
15to44,2021,30,1628
15to44,2021,31,1694
15to44,2021,32,1808
15to44,2021,33,1869
15to44,2021,34,1942
15to44,2021,35,2005
15to44,2021,36,2170
15to44,2021,37,2244
15to44,2021,38,2294
15to44,2021,39,2332
15to44,2021,40,2394
15to44,2021,41,2390
15to44,2021,42,2445
15to44,2021,43,2409
15to44,2021,44,2443
15to44,2021,45,2561
15to44,2021,46,2637
15to44,2021,47,2781
15to44,2021,48,2940
15to44,2021,49,3037
15to44,2021,50,3146
15to44,2021,51,3245
15to44,2021,52,3466
15to44,2022,0,0
15to44,2022,1,127
15to44,2022,2,202
15to44,2022,3,222
15to44,2022,4,255
15to44,2022,5,299
15to44,2022,6,297
15to44,2022,7,328
15to44,2022,8,340
15to44,2022,9,341
15to44,2022,10,367
15to44,2022,11,425
15to44,2022,12,411
15to44,2022,13,391
15to44,2022,14,395
15to44,2022,15,332
15to44,2022,16,259
15to44,2022,17,259
15to44,2022,18,295
15to44,2022,19,287
15to44,2022,20,308
15to44,2022,21,289
15to44,2022,22,241
15to44,2022,23,297
15to44,2022,24,350
15to44,2022,25,362
15to44,2022,26,351
15to44,2022,27,446
15to44,2022,28,521
15to44,2022,29,572
15to44,2022,30,645
15to44,2022,31,700
15to44,2022,32,816
15to44,2022,33,797
15to44,2022,34,776
15to44,2022,35,746
15to44,2022,36,721
15to44,2022,37,612
15to44,2022,38,565
15to44,2022,39,448
15to44,2022,40,412
15to44,2022,41,389
15to44,2022,42,309
15to44,2022,43,214
15to44,2022,44,134
15to44,2022,45,33
15to44,2022,46,-78
15to44,2022,47,-128
15to44,2022,48,-140
15to44,2022,49,-120
15to44,2022,50,-138
15to44,2022,51,-1
15to44,2022,52,186
15to44,2023,0,0
15to44,2023,1,37
15to44,2023,2,28
15to44,2023,3,-11
15to44,2023,4,-49
15to44,2023,5,4
15to44,2023,6,-21
15to44,2023,7,-43
15to44,2023,8,-89
15to44,2023,9,-58
15to44,2023,10,-29
15to44,2023,11,-9
15to44,2023,12,-5
15to44,2023,13,-73
15to44,2023,14,-49
15to44,2023,15,-26
15to44,2023,16,-127
15to44,2023,17,-118
15to44,2023,18,-117
15to44,2023,19,-140
15to44,2023,20,-149
15to44,2023,21,-198
15to44,2023,22,-188
15to44,2023,23,-183
15to44,2023,24,-142
15to44,2023,25,-146
15to44,2023,26,-171
15to44,2023,27,-146
15to44,2023,28,-145
15to44,2023,29,-143
15to44,2023,30,-129
15to44,2023,31,-125
15to44,2023,32,-63
15to44,2023,33,-72
15to44,2023,34,-37
15to44,2023,35,-52
15to44,2023,36,-84
15to44,2023,37,-119
15to44,2023,38,-224
15to44,2023,39,-261
15to44,2023,40,421
15to44,2023,41,414
15to44,2023,42,343
15to44,2023,43,245
15to44,2023,44,172
15to44,2023,45,73
15to44,2023,46,-47
15to44,2023,47,-125
15to44,2023,48,-151
15to44,2023,49,-253
45to64,2021,0,0
45to64,2021,1,1631
45to64,2021,2,3381
45to64,2021,3,5236
45to64,2021,4,6778
45to64,2021,5,8031
45to64,2021,6,9085
45to64,2021,7,9998
